case_name,selected_count,method,objective_mape_pct_mean,objective_mape_pct_std,worst_objective_error_pct_mean,worst_objective_error_pct_std,line_loading_mae_pct_mean,line_loading_mae_pct_std,voltage_min_mae_pu_mean,voltage_min_mae_pu_std,selection_time_s_mean,reduced_opf_time_s_mean,full_opf_time_s_mean,time_saving_ratio_mean,time_saving_ratio_std,scenario_retention_ratio,n_samples,objective_mape_pct_ci95,time_saving_ratio_ci95
case118,4,kmeans_feature,1.0392296734140012,0.311281154708228,3.2027279506871253,1.0514675053910965,0.006708468554217102,0.001993121623532749,0.00037080624236313455,9.868861381085436e-05,0.30512073999952916,1.3874559349997981,6.263213760000599,4.516151457791885,0.12259240475665528,0.22222222222222224,20,0.13642498112027637,0.05372849030996576
case118,4,opf_sensitivity,1.5130714919168724,0.4024996192025512,4.386190764677044,0.8439502134354752,0.009762445965607013,0.00299437410292409,0.00046874048278534706,0.0001166157349066121,0.3010692700003347,1.368042620000051,6.263213760000599,4.580829186666568,0.08650892676941206,0.22222222222222224,20,0.17640323585311807,0.037914208819723495
case118,4,forward_feature,1.5241103977536092,0.36411374572331584,4.108531382446177,0.8121895012088279,0.010147247270469829,0.0023519208255793635,0.0004496533441978066,0.00011014553271330795,0.00065470000008645,1.3858819900001436,6.263213760000599,4.5241419288329645,0.17394673568360625,0.22222222222222224,20,0.1595798850479639,0.07623551818873545
case118,4,opf_kkt_active_set,2.35412248623039,0.4174303732538737,5.228614341305944,1.1202856284242109,0.015701222622825986,0.0030974524691833837,0.0005517059325476081,0.0001823087913833343,0.0014850850000584614,1.3878655450002042,6.263213760000599,4.516656506034755,0.13372971659916566,0.22222222222222224,20,0.18294692733187926,0.05860963243779322
case118,8,kmeans_feature,0.5828746736297996,0.14801729889559298,2.824069616774571,0.8564246762886641,0.00391108727171389,0.0010430190636975547,0.00022080975651031878,6.73032394400653e-05,0.3077541100000417,2.8038008500000613,6.263213760000599,2.2353088520230253,0.041172743121816784,0.4444444444444445,20,0.06487144146658429,0.018044750278341768
case118,8,opf_sensitivity,0.627311206621161,0.19935715015374883,2.677192282329437,0.9723586052710221,0.004140435781485325,0.0013007022796445765,0.00022007167264852403,5.521160136584616e-05,0.30639861000017843,2.7839610300001367,6.263213760000599,2.250975552653492,0.03979356323350545,0.4444444444444445,20,0.08737212335070534,0.017440298041582685
case118,8,forward_feature,0.7632552796300927,0.24791037810538474,3.158832705885364,0.90096585520293,0.005090657762582823,0.001488605676107304,0.00027425458027146947,7.117352840466585e-05,0.000735750000239932,2.7884308300003795,6.263213760000599,2.2471931491470998,0.03736651855635765,0.4444444444444445,20,0.1086515137231779,0.01637659881260651
case118,8,opf_kkt_active_set,1.1783233404125038,0.22375297641711522,3.7955637253770624,0.5932253416882622,0.007798124092872219,0.0016266903810652235,0.0003285014951296652,9.138913512742024e-05,0.0014461750000918983,2.769052770000144,6.263213760000599,2.262654363115826,0.03308371309648562,0.4444444444444445,20,0.09806406562556907,0.014499576560641011
case118,12,kmeans_feature,0.2722108087352667,0.11862554083346799,1.7701504058847255,0.7203594823182716,0.001930250864542778,0.0008534403320811083,0.00010789063074750792,3.6866369064726536e-05,0.3088217300000906,4.176523305000137,6.263213760000599,1.4998022243443203,0.013801115889172882,0.6666666666666666,20,0.05198993554157705,0.006048605725534431
case118,12,opf_sensitivity,0.29166899521980627,0.14533056246784884,1.9332254477511135,0.9048601075861418,0.0019111840193570002,0.0010019675493822598,0.00012064274337081349,5.2564593592723925e-05,0.3091688200000135,4.17873463000069,6.263213760000599,1.4995354669379988,0.019398362696463365,0.6666666666666666,20,0.06369392730973236,0.008501707297731687
case118,12,forward_feature,0.2960945463582863,0.10118253923765883,1.8353691357141462,0.5739394346240858,0.0021057690109002715,0.0007099035169838679,0.000106960160267615,3.134826998427092e-05,0.0007428599998092978,4.179905480000798,6.263213760000599,1.4986358289299222,0.010966599068634918,0.6666666666666666,20,0.04434520303080319,0.004806323955892897
case118,12,opf_kkt_active_set,0.4763140222330959,0.15565127929905348,2.3217417620471665,0.7263467461166198,0.003034465449521435,0.0010101564352687734,0.00016779773990980356,5.025538613818336e-05,0.0014151499996842177,4.158281660000466,6.263213760000599,1.506685679719763,0.014490157873482557,0.6666666666666666,20,0.06821718089430792,0.006350591689922915
case30,4,kmeans_feature,0.8766849872065533,0.27615860603897,2.7274745107077125,0.8056144088446642,0.7348676519809425,0.16978076310330786,0.0008988635015847156,0.0006420619868239397,0.30741937499969935,0.6072387100004561,2.7444267700007003,4.5218583270054635,0.11228786699328093,0.22222222222222224,20,0.12103184547224528,0.04921232751450449
case30,4,opf_sensitivity,1.142174302095217,0.3120843000480081,3.5108939189550683,0.9493475182992891,0.9228886045494968,0.28848487217380675,0.0016937939404138309,0.001592704953488659,0.3051344449998396,0.608263380000244,2.7444267700007003,4.517251597391171,0.1508827107627882,0.22222222222222224,20,0.13677697508508624,0.06612726358742657
case30,4,forward_feature,1.3029609185828277,0.31082365820352187,3.4558516785223055,0.7441419775684572,1.057951783562064,0.286378575480759,0.0013359955763021483,0.0010627681943306258,0.0007231599998704042,0.6111510100000487,2.7444267700007003,4.487739128525953,0.09892767100583154,0.22222222222222224,20,0.13622447443661406,0.04335696345605576
case30,4,opf_kkt_active_set,1.898143507420933,0.2928407385117353,4.268174323681473,0.6874262163680669,1.5632190305539124,0.24151157318213945,0.0017167096313146265,0.0013436151749603026,0.0019661849996737146,0.6150294050000411,2.7444267700007003,4.465630663116199,0.12739487450073717,0.22222222222222224,20,0.12834311238712223,0.05583326547626576
case30,8,kmeans_feature,0.508961275631955,0.13689081388576355,2.4064433885364123,0.7061297673501836,0.41887141158214025,0.11531691236907345,0.0003607964751881502,0.00031647798582813664,0.31140787500007716,1.2343695000004118,2.7444267700007003,2.2251957324157363,0.030723333380878265,0.4444444444444445,20,0.05999504440739252,0.013465094539266318
case30,8,opf_sensitivity,0.5599699721712984,0.21743754196249837,2.547577262014594,0.7975801355663659,0.46485212885958155,0.13330061857508846,0.0004152435334884081,0.0005793399180275733,0.30677977500008635,1.2221166450003693,2.7444267700007003,2.2492888198087195,0.039553722372705415,0.4444444444444445,20,0.09529620443896744,0.01733518314975062
case30,8,forward_feature,0.6643142482981483,0.20229901157503877,2.7441639388131964,0.7299451913413992,0.5347459720171142,0.15820770777127646,0.0005272875465168908,0.0005505733582421336,0.0007097049999174488,1.2258776699998635,2.7444267700007003,2.239700168357328,0.026002750607348003,0.4444444444444445,20,0.08866145096590948,0.011396207920160798
case30,8,opf_kkt_active_set,0.9835471153431857,0.19430025729564693,3.207689049250058,0.47598187849511564,0.8324167480335749,0.18338822914244693,0.0004679396832966951,0.00043780603905505623,0.002078474999871105,1.2270074400004887,2.7444267700007003,2.2366195152301263,0.029947315536496242,0.4444444444444445,20,0.08515584233831812,0.013124989723515272
case30,12,opf_sensitivity,0.22454101737274165,0.09124101713078767,1.5337089442641931,0.6466999506662681,0.20402747990852102,0.08817962559542591,5.773980457087275e-05,2.599385592048042e-05,0.30847416999995403,1.8405205200003365,2.7444267700007003,1.49294876091091,0.019321665170855762,0.6666666666666666,20,0.03998813886157015,0.00846809312506262
case30,12,kmeans_feature,0.24898753768661647,0.11569081529010895,1.5855875342689871,0.662253533421412,0.18764320304535934,0.06364484003244601,7.228561267927925e-05,8.713452622739994e-05,0.3119568750000326,1.8410729650008761,2.7444267700007003,1.4930558805988754,0.022354043922978042,0.6666666666666666,20,0.05070373536276691,0.009797091709623814
case30,12,forward_feature,0.27334641576525487,0.10087466386639521,1.6553440815053353,0.49642372686486014,0.1978874039484579,0.05823342620454734,7.48541252622359e-05,8.60612442229339e-05,0.0008328199996867625,1.8380328100005499,2.7444267700007003,1.4944637977069104,0.016157523731635575,0.6666666666666666,20,0.04421027070008948,0.007081346996752629
case30,12,opf_kkt_active_set,0.40538504525373786,0.1263746716146644,2.0437589850920452,0.5466582486406996,0.3499168845109732,0.12247926313043725,8.378387049905703e-05,3.0838451349792595e-05,0.0019627900004707045,1.8408577450006305,2.7444267700007003,1.4920088069429078,0.019019987447483042,0.6666666666666666,20,0.05538614184746213,0.008335877033297898
