system,method,dispatch_cost_gap,dispatch_cost_gap_std,dispatch_cost_gap_ratio,full_dispatch_cost,reduced_dispatch_cost
IEEE-33,hierarchical,4.384738107913321,0.3522610949749188,0.10773189428364915,40.72476043914776,45.07860475609386
IEEE-33,kmeans,4.186939810732268,0.4301626285404095,0.1027902901492306,40.72476043914776,44.802420344869454
IEEE-33,kmedoids,4.163123493638721,0.4210960780690814,0.10221209595605336,40.72476043914776,44.66899437794601
IEEE-33,spectral,4.1563296612320055,0.38204193452560414,0.10208515904396345,40.72476043914776,44.76552655195486
IEEE-33,xrfm,4.485616084661263,0.17664794483051166,0.11016466518817906,40.72476043914776,44.88941051775823
IEEE-33,xrfm_dual_library,2.4690249878404575,0.345835221199271,0.060689456240682296,40.72476043914776,41.48052580065758
IEEE-69-like,hierarchical,4.459620290466485,0.4218217733090606,0.10690827673836915,41.74563386846206,46.14905522957573
IEEE-69-like,kmeans,4.254925197053014,0.46292965317618484,0.10190671911677225,41.74563386846206,45.862837501763444
IEEE-69-like,kmedoids,4.195553711688688,0.4481687422325663,0.10050097919889871,41.74563386846206,45.70065176760093
IEEE-69-like,spectral,4.199583339439416,0.3816376973935821,0.10063573564926662,41.74563386846206,45.801202222311645
IEEE-69-like,xrfm,4.5519526895115145,0.2802613519806407,0.10907750490766985,41.74563386846206,45.96837240390588
IEEE-69-like,xrfm_dual_library,2.5875873664134703,0.2989735424140115,0.06204260655836789,41.74563386846206,42.60764414837015
