dispatch_error,coverage,extreme_miss,method,seed,runtime,library_size,memory_proxy
0.48771993434523353,0.7096774193548387,0.25,kmeans,2026,10.672211506490479,6,72.0
0.48771993434523353,0.7096774193548387,0.25,kmedoids,2026,11.15221150649048,6,72.0
0.4653119267058266,0.7096774193548387,0.0,spectral,2026,10.796842088791175,6,72.0
0.4388033431823429,0.7096774193548387,0.0,hierarchical,2026,10.758276584891867,6,72.0
0.4692351700993958,0.7096774193548387,0.0,xrfm,2026,10.853257987202085,6,72.0
0.4202310247766921,0.7096774193548387,0.0,xrfm_dual_library,2026,16.799999999999997,12,144.0
0.517002619557381,0.7096774193548387,0.25,kmeans,2027,10.706686673013845,6,72.0
0.526492828616384,0.7096774193548387,0.25,kmedoids,2027,11.376135367792411,6,72.0
0.5019620119252834,0.7096774193548387,0.25,spectral,2027,10.803489972970707,6,72.0
0.4785755935057761,0.7096774193548387,0.25,hierarchical,2027,10.49159883002245,6,72.0
0.4805098385940857,0.7096774193548387,0.5,xrfm,2027,10.996996329760265,6,72.0
0.38960975255328906,0.7096774193548387,0.0,xrfm_dual_library,2027,16.799999999999997,12,144.0
0.4674838041426153,0.7096774193548387,0.25,kmeans,2028,10.722786850061235,6,72.0
0.4674838041426153,0.7096774193548387,0.25,kmedoids,2028,11.202786850061235,6,72.0
0.4674838041426153,0.7096774193548387,0.25,spectral,2028,10.842786850061236,6,72.0
0.4900368426675205,0.7096774193548387,0.0,hierarchical,2028,11.461963889115346,6,72.0
0.5028334967654681,0.7096774193548387,0.25,xrfm,2028,10.955238358214345,6,72.0
0.40289756574192187,0.7096774193548387,0.0,xrfm_dual_library,2028,16.799999999999997,12,144.0
0.49127680372638116,0.7096774193548387,0.0,kmeans,2029,10.575942862367603,6,72.0
0.49127680372638116,0.7096774193548387,0.0,kmedoids,2029,11.055942862367603,6,72.0
0.43420068745860363,0.7096774193548387,0.0,spectral,2029,10.606302918983202,6,72.0
0.42239113481260276,0.7096774193548387,0.0,hierarchical,2029,10.71226405102789,6,72.0
0.4430342922995845,0.7096774193548387,0.0,xrfm,2029,10.695791549480877,6,72.0
0.3577002538104896,0.7096774193548387,0.0,xrfm_dual_library,2029,16.799999999999997,12,144.0
0.43020850028083635,0.7096774193548387,0.5,kmeans,2030,10.50421314712884,6,72.0
0.43020850028083635,0.7096774193548387,0.5,kmedoids,2030,10.984213147128841,6,72.0
0.4538242907957481,0.7096774193548387,0.25,spectral,2030,10.838960329287607,6,72.0
0.46645506143906135,0.7096774193548387,0.25,hierarchical,2030,11.034310507581758,6,72.0
0.4740225776703372,0.7096774193548387,0.25,xrfm,2030,10.772240790052605,6,72.0
0.3922626645410181,0.7096774193548387,0.0,xrfm_dual_library,2030,16.799999999999997,12,144.0
